State_Name,District_Name,Latitude,Longitude,Year,Season,Crop,Area,Production,Mean_Temperature,Max_Temperature,Min_Temperature,Precipitation,Shortwave_Radiation,Wind_Speed,Relative_Humidity,ET0,Soil_Moisture,Soil_Temperature,Soil_pH,Organic_Carbon,Clay,Sand,Silt,Elevation,Yield
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Kharif,Bajra,1609.0,1878.0,26.408562091503267,29.630718954248366,23.834509803921566,1205.96,16.026339869281045,2.429019607843137,80.20261437908496,3.969019607843137,0.3694313725490196,29.03267973856209,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,1.1671845866998136
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Kharif,Castor seed,2.0,1.0,26.408562091503267,29.630718954248366,23.834509803921566,1205.96,16.026339869281045,2.429019607843137,80.20261437908496,3.969019607843137,0.3694313725490196,29.03267973856209,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,0.5
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Kharif,Cotton(lint),11062.0,11452.0,26.408562091503267,29.630718954248366,23.834509803921566,1205.96,16.026339869281045,2.429019607843137,80.20261437908496,3.969019607843137,0.3694313725490196,29.03267973856209,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,1.0352558307720123
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Kharif,Dry chillies,228.0,1026.0,26.408562091503267,29.630718954248366,23.834509803921566,1205.96,16.026339869281045,2.429019607843137,80.20261437908496,3.969019607843137,0.3694313725490196,29.03267973856209,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,4.5
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Kharif,Groundnut,36733.0,32362.0,26.408562091503267,29.630718954248366,23.834509803921566,1205.96,16.026339869281045,2.429019607843137,80.20261437908496,3.969019607843137,0.3694313725490196,29.03267973856209,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,0.8810061797293987
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Kharif,Jowar,391.0,291.0,26.408562091503267,29.630718954248366,23.834509803921566,1205.96,16.026339869281045,2.429019607843137,80.20261437908496,3.969019607843137,0.3694313725490196,29.03267973856209,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,0.7442455242966752
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Kharif,Maize,2920.0,8903.0,26.408562091503267,29.630718954248366,23.834509803921566,1205.96,16.026339869281045,2.429019607843137,80.20261437908496,3.969019607843137,0.3694313725490196,29.03267973856209,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,3.048972602739726
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Kharif,Mesta,46897.0,437705.0,26.408562091503267,29.630718954248366,23.834509803921566,1205.96,16.026339869281045,2.429019607843137,80.20261437908496,3.969019607843137,0.3694313725490196,29.03267973856209,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,9.333326225558139
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Kharif,Moong(Green Gram),823.0,320.0,26.408562091503267,29.630718954248366,23.834509803921566,1205.96,16.026339869281045,2.429019607843137,80.20261437908496,3.969019607843137,0.3694313725490196,29.03267973856209,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,0.3888213851761847
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Kharif,Niger seed,502.0,303.0,26.408562091503267,29.630718954248366,23.834509803921566,1205.96,16.026339869281045,2.429019607843137,80.20261437908496,3.969019607843137,0.3694313725490196,29.03267973856209,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,0.603585657370518
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Kharif,Onion,457.0,7663.0,26.408562091503267,29.630718954248366,23.834509803921566,1205.96,16.026339869281045,2.429019607843137,80.20261437908496,3.969019607843137,0.3694313725490196,29.03267973856209,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,16.76805251641138
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Kharif,Ragi,4184.0,5468.0,26.408562091503267,29.630718954248366,23.834509803921566,1205.96,16.026339869281045,2.429019607843137,80.20261437908496,3.969019607843137,0.3694313725490196,29.03267973856209,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,1.3068833652007648
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Kharif,Rice,117452.0,281532.0,26.408562091503267,29.630718954248366,23.834509803921566,1205.96,16.026339869281045,2.429019607843137,80.20261437908496,3.969019607843137,0.3694313725490196,29.03267973856209,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,2.396996219732316
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Kharif,Sesamum,14603.0,2570.0,26.408562091503267,29.630718954248366,23.834509803921566,1205.96,16.026339869281045,2.429019607843137,80.20261437908496,3.969019607843137,0.3694313725490196,29.03267973856209,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,0.17599123467780592
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Kharif,Small millets,2785.0,2014.0,26.408562091503267,29.630718954248366,23.834509803921566,1205.96,16.026339869281045,2.429019607843137,80.20261437908496,3.969019607843137,0.3694313725490196,29.03267973856209,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,0.7231597845601436
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Kharif,Urad,702.0,269.0,26.408562091503267,29.630718954248366,23.834509803921566,1205.96,16.026339869281045,2.429019607843137,80.20261437908496,3.969019607843137,0.3694313725490196,29.03267973856209,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,0.3831908831908832
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Rabi,Dry chillies,1881.0,3104.0,22.66054347826087,26.80913043478261,19.026521739130434,263.08,16.816195652173914,1.5980434782608697,80.06521739130434,3.541413043478261,0.3195978260869565,25.694565217391304,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,1.6501860712387029
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Rabi,Gram,165.0,315.0,22.66054347826087,26.80913043478261,19.026521739130434,263.08,16.816195652173914,1.5980434782608697,80.06521739130434,3.541413043478261,0.3195978260869565,25.694565217391304,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,1.9090909090909092
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Rabi,Groundnut,3550.0,5211.0,22.66054347826087,26.80913043478261,19.026521739130434,263.08,16.816195652173914,1.5980434782608697,80.06521739130434,3.541413043478261,0.3195978260869565,25.694565217391304,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,1.467887323943662
